s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s,m3/s
Time,"sortie niv -1 nord","sortie niv -2 nord","sortie niv -1 sud","sortie niv -2 sud","escalier 1.2","escalier 2.2","escalier 2.2","escalier 3.2","escalier 4.2","escalier 4.2","escalier 1.1","escalier 2.1","escalier 2.1","escalier 3.1","escalier 4.1","escalier 4.1"
 0.0000000E+000,-3.5067639E-005,-1.1079116E-003,-1.7319247E-005, 6.1288275E-004, 5.4203414E-004, 6.4471107E-004,-2.1969219E-004,-7.8929494E-005,-6.1014597E-004,-1.1348935E-003,-7.9607198E-004, 1.3024318E-004,-9.6789188E-004, 9.1860959E-004,-4.5790887E-004,-9.1076444E-004
 1.8066137E+000,-6.8028028E-002,-8.4627084E-003,-6.6013667E-002,-1.0188485E-002, 7.9449364E-001, 2.5290581E-001,-1.3552881E-002,-1.9796405E-001,-5.0940162E-001,-2.4584905E-001, 9.0083076E-002, 4.9688605E-004,-3.6890113E-002,-1.5609489E-001,-1.9801978E-001,-4.3890036E-001
 3.6352447E+000, 7.1870776E-002, 4.2128799E-001, 6.6020383E-002, 3.3985673E-001, 1.4782624E-001,-1.1772872E-001,-7.8644569E-002,-4.0018084E-001,-6.3025067E-001,-3.0497259E-001, 3.2844637E-001, 3.0547088E-001,-3.6027756E-002,-1.4314691E-001,-2.4458328E-001,-5.2729347E-001
 5.4067310E+000, 1.4457564E-001,-1.3161719E-001, 1.3176090E-001,-1.4219861E-001, 8.2787421E-001, 2.2365449E-001,-3.4112016E-002,-2.0591550E-001,-4.5530979E-001,-2.1009720E-001, 5.2239554E-001, 2.0250689E-001,-3.8942058E-002,-1.7071277E-001,-2.1206411E-001,-4.6449984E-001
 7.2067897E+000, 5.0607589E-001,-1.8400757E-001, 4.1945853E-001,-4.6336032E-002, 6.4988010E-001, 1.5853477E-001,-2.5374605E-002,-9.9623042E-002,-3.6441376E-001,-1.6049267E-001, 3.0946653E-001,-1.2472599E-001,-5.5955844E-002,-2.4425785E-001,-2.2080239E-001,-4.8099227E-001
 9.0045625E+000, 2.3638832E-001, 3.5631081E-001, 1.8779373E-001, 3.3578996E-001, 7.4520734E-002, 1.2124570E-002,-3.8085735E-002,-9.8951191E-002,-3.1406875E-001,-1.3937126E-001, 5.8523332E-001, 2.5527390E-001,-1.7244193E-002,-1.2261957E-001,-1.9821029E-001,-4.2835150E-001
 1.0802335E+001, 1.6271531E-001, 4.2631191E-001, 1.6949865E-001, 2.4987605E-001, 2.6200592E-001, 1.0264731E-001,-2.5035852E-002,-1.1400780E-001,-3.4923988E-001,-1.6391830E-001, 5.7272935E-001, 1.7053211E-001,-1.9403160E-002,-8.6878773E-002,-1.6106161E-001,-3.5227769E-001
 1.2600108E+001, 3.5127626E-001,-1.3838142E-001, 3.1081422E-001,-8.4862224E-002, 6.1682005E-001, 1.6470644E-001,-1.6432217E-002,-1.4047084E-001,-3.8059874E-001,-1.7342593E-001, 6.2953425E-001, 8.3524227E-003,-3.2380827E-002,-1.4199607E-001,-1.6039468E-001,-3.6297610E-001
 1.4467026E+001, 4.5357969E-002,-2.0274460E-001, 1.2138012E-002,-6.7814983E-002, 6.2221112E-001, 2.0987473E-001,-1.5820504E-002,-1.5811797E-001,-3.7727896E-001,-1.7066829E-001, 1.0239328E+000, 3.5096971E-001,-5.1619848E-003,-1.4714818E-001,-1.9898745E-001,-4.3409239E-001
