s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.9265829E-002, 2.0749757E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9263754E-002, 0.0000000E+000, 0.0000000E+000
 1.8066137E+000, 6.8056628E-003,-4.1119752E-003, 1.9955332E+000,-6.5329524E-006,-9.8564096E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4612395E-002, 1.9982193E+000, 1.6379721E-007, 1.6379721E-007
 3.6352448E+000, 6.0193057E-002, 1.3570565E-005,-1.8656008E+000,-2.0296286E-004,-6.7391592E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9437276E-002,-1.8056038E+000, 1.1200518E-006, 1.1200518E-006
 5.4067311E+000, 1.2914223E-001,-8.2118696E-005,-7.5356183E-001,-9.4858477E-004,-1.8018012E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.3833157E-001,-6.2546831E-001, 2.9950959E-006, 2.9950959E-006
 7.2067895E+000, 1.1306367E-001,-4.2430157E-004,-2.8755166E+000,-2.3035153E-003,-3.4749624E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7398782E-001,-2.7652155E+000, 5.7809126E-006, 5.7809126E-006
 9.0045624E+000, 5.5415433E-001,-8.8569844E-002,-6.5825385E+000,-5.6453646E-003,-5.7131243E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9522950E-001,-6.1226565E+000, 9.5073444E-006, 9.5073444E-006
 1.0802336E+001, 6.3485127E-001,-1.1938238E-001,-5.9409733E+000,-1.3464441E-002,-8.4994562E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4753433E-001,-5.4390538E+000, 1.4151605E-005, 1.4151605E-005
 1.2600108E+001, 5.3342533E-001,-9.1586020E-002,-1.8654431E+000,-1.7907960E-002,-1.1845375E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.2351819E-001,-1.4416303E+000, 1.9719551E-005, 1.9719551E-005
 1.4467026E+001, 1.2332551E+000,-2.2915652E-001, 8.4708195E-002,-2.5500435E-002,-1.5838667E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0185655E+000, 1.0631479E+000, 2.6348093E-005, 2.6348093E-005
 1.6264799E+001, 1.6105996E+000,-3.0397724E-001, 2.0111128E-001,-3.5923680E-002,-2.0401040E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2263926E+000, 1.4716059E+000, 3.3930154E-005, 3.3930154E-005
 1.8062572E+001, 1.9362976E+000,-3.6193095E-001, 2.1329783E+000,-3.9002863E-002,-2.5439047E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4785014E+000, 3.6680877E+000, 4.2304685E-005, 4.2304685E-005
 1.9860344E+001, 2.4039517E+000,-4.5052204E-001, 1.8510607E+000,-3.5502225E-002,-3.1030491E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9197710E+000, 3.7686779E+000, 5.1602903E-005, 5.1602903E-005
 2.1658117E+001, 2.7917652E+000,-5.2582157E-001, 7.4466912E-001,-3.6121932E-002,-3.7175882E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2192278E+000, 2.9741191E+000, 6.1824807E-005, 6.1824807E-005
 2.3455891E+001, 3.2807130E+000,-6.1071779E-001, 9.6067828E-001,-4.6666494E-002,-4.3876588E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6155781E+000, 3.5835682E+000, 7.2970398E-005, 7.2970398E-005
 2.5253664E+001, 3.9314278E+000,-6.5221478E-001, 7.0525221E-001,-7.8962937E-002,-5.1128484E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2210149E+000, 3.9049910E+000, 8.5039674E-005, 8.5039674E-005
 2.7051435E+001, 4.5718034E+000,-6.8064721E-001, 9.4324237E-001,-1.2888249E-001,-5.8932321E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.8055885E+000, 4.7049268E+000, 9.8032637E-005, 9.8032637E-005
 2.8849209E+001, 5.1433497E+000,-7.2189983E-001, 7.2084159E-001,-1.7815964E-001,-6.7291805E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2740468E+000, 4.9634589E+000, 1.1194929E-004, 1.1194929E-004
 3.0646982E+001, 5.8021126E+000,-7.4557835E-001,-1.3344438E+000,-2.3443025E-001,-7.6207817E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8352507E+000, 3.4868981E+000, 1.2678962E-004, 1.2678962E-004
 3.2444756E+001, 6.5914867E+000,-8.3600492E-001,-2.3260453E+000,-3.0659397E-001,-8.5681938E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.5647435E+000, 3.1219857E+000, 1.4255364E-004, 1.4255364E-004
 3.4225300E+001, 7.3080012E+000,-9.1164043E-001,-1.6876174E+000,-3.8999889E-001,-9.5648610E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.0612436E+000, 4.3177880E+000, 1.5914392E-004, 1.5914392E-004
 3.6021778E+001, 8.0696348E+000,-9.5640127E-001,-1.0170117E+000,-5.1360114E-001,-1.0614886E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4608356E+000, 5.5815592E+000, 1.7663689E-004, 1.7663689E-004
 3.7818253E+001, 9.0296272E+000,-1.0918735E+000, 3.7289773E-002,-6.4304823E-001,-1.1726404E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.2193579E+000, 7.3308227E+000, 1.9514725E-004, 1.9514725E-004
 3.9614731E+001, 1.0001797E+001,-1.1770326E+000, 1.1116224E+000,-7.5666567E-001,-1.2892025E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.1490601E+000, 9.1784324E+000, 2.1457997E-004, 2.1457997E-004
 4.1411209E+001, 1.0925181E+001,-1.2758869E+000, 1.0134222E+000,-8.8016933E-001,-1.4113227E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.9160675E+000, 9.7811357E+000, 2.3493504E-004, 2.3493504E-004
 4.3207684E+001, 1.1830161E+001,-1.3233313E+000, 3.5763312E-001,-9.4059212E-001,-1.5391606E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.5472860E+000, 9.9223312E+000, 2.5621246E-004, 2.5621246E-004
 4.5004162E+001, 1.2779616E+001,-1.4222364E+000, 2.4532782E-001,-1.0801286E+000,-1.6725689E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0134844E+001, 1.0520906E+001, 2.7842724E-004, 2.7842724E-004
 4.6844002E+001, 1.3919685E+001,-1.5385912E+000, 2.7620760E-001,-1.2220990E+000,-1.8131842E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1153706E+001, 1.1433389E+001, 3.0186161E-004, 3.0186161E-004
 4.8615700E+001, 1.5121055E+001,-1.6513586E+000, 5.5213556E-001,-1.3369608E+000,-1.9582718E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2173536E+001, 1.2682913E+001, 3.2604273E-004, 3.2604273E-004
 5.0455540E+001, 1.6302466E+001,-1.7975818E+000, 1.3721371E+000,-1.4231885E+000,-2.1088462E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3117743E+001, 1.4451724E+001, 3.5116162E-004, 3.5116162E-004
 5.2227238E+001, 1.7497590E+001,-1.9215448E+000, 1.4137917E+000,-1.5967250E+000,-2.2649728E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4018762E+001, 1.5390847E+001, 3.7720657E-004, 3.7720657E-004
 5.4067078E+001, 1.8738240E+001,-2.0557623E+000, 3.4531495E-001,-1.9237531E+000,-2.4261226E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4793789E+001, 1.5101614E+001, 4.0418931E-004, 4.0418931E-004
 5.5838776E+001, 2.0033104E+001,-2.1820204E+000,-3.7444077E-001,-2.1910015E+000,-2.5934293E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.5841937E+001, 1.5283047E+001, 4.3209811E-004, 4.3209811E-004
